id_category,label_category
1,Arts & Photo graphy
2,Biographies & Memoirs
3,Business & Money
4,Children's eBooks
5,Comics
6,Computers & Technology
7,"Cookbooks, Food & Wine"
8,"Crafts, Hobbies & Home"
9,Education & Teaching
10,Engineering & Transportation
11,Foreign Language
12,"Health, Fitness & Dieting"
13,History
14,Humor & Entertainment
15,Law
16,LGBTQ+ eBooks
17,Literature & Fiction
18,Medical
19,"Mystery, Thriller & Suspense"
20,Nonfiction
21,Parenting & Relationships
22,Politics & Social Sciences
23,Reference
24,Religion & Spirituality
25,Romance
26,Science & Math
27,Science Fiction & Fantasy
28,Self-Help
29,Sports & Outdoors
30,Teen & Young Adult
31,Travel
