id_soldBy,label_soldBy
1,Pottermore
2,HarperCollins
3,Scholastic Trade Publisher
4,Hachette Book Group
5,De Marque
6,Macmillan
7,Yen Press LLC
8,GeMS SpA
9,Penguin Random House
10,"Editorial Planeta, S,A,U,"
11,INTERFORUM
12,"Gallimard Lt,"
13,Immat&eacute;riel fr
14,"Pearson Education,Inc,"
15,DC Comics
16,EDIGITA
17,"Giunti Editore S,p,A,"
18,Marvel Entertainment US
19,Disney Book Group
20,"W, W, Norton & Company"
21,"RCS MediaGroup S,p,A,"
22,Amazon.com
23,Volumen
24,Newton Compton
25,Book Republic
26,Cengage Learning
27,"Flammarion Lt,"
28,Other
29,Simon & Schuster
30,"Harlequin Digital Sales Corp,"
31,Versilio
32,JOHN WILEY AND SONS INC
33,Games Workshop
